mRNA,length,name
Zm00019ab295810_T001,1649,CML52
Zm00019ab295820_T001,213,CML52
Zm00019ab295830_T001,13573,CML52
Zm00019ab295840_T001,17022,CML52
Zm00019ab295860_T001,6704,CML52
Zm00019ab295870_T001,2938,CML52
Zm00019ab295880_T001,18578,CML52
Zm00019ab295890_T001,2752,CML52
Zm00019ab295900_T001,27396,CML52
Zm00019ab295910_T001,570,CML52
Zm00019ab295920_T001,744,CML52
Zm00019ab295930_T001,755,CML52
Zm00019ab295940_T001,1180,CML52
Zm00019ab295950_T003,5993,CML52
Zm00019ab295960_T001,1553,CML52
Zm00019ab295970_T001,799,CML52
Zm00019ab295980_T001,2634,CML52
Zm00019ab295990_T001,632,CML52
Zm00019ab296000_T001,776,CML52
Zm00019ab296010_T006,1702,CML52
Zm00019ab296020_T001,1215,CML52
Zm00019ab296030_T001,5139,CML52
Zm00019ab296040_T001,329,CML52
Zm00019ab296050_T001,673,CML52
Zm00019ab296070_T001,7711,CML52
Zm00019ab296080_T002,11940,CML52
Zm00019ab296090_T001,6408,CML52
Zm00019ab296100_T001,5526,CML52
Zm00019ab296120_T001,402,CML52
Zm00019ab296130_T001,1376,CML52
Zm00019ab296150_T001,15325,CML52
Zm00019ab296160_T001,7144,CML52
Zm00019ab296170_T001,2335,CML52
Zm00019ab296200_T001,678,CML52
Zm00019ab296210_T002,1662,CML52
Zm00019ab296220_T001,2228,CML52
Zm00019ab296230_T003,3678,CML52
Zm00019ab296240_T001,742,CML52
Zm00019ab296250_T001,2423,CML52
Zm00019ab296260_T003,4232,CML52
Zm00019ab296270_T001,24373,CML52
Zm00019ab296290_T001,3880,CML52
Zm00019ab296300_T002,21195,CML52
Zm00019ab296320_T001,1190,CML52
Zm00019ab296330_T002,7159,CML52
Zm00019ab296340_T002,1927,CML52
Zm00019ab296350_T002,2559,CML52
Zm00019ab296360_T001,1310,CML52
Zm00019ab296370_T002,27901,CML52
Zm00019ab296380_T001,46020,CML52
Zm00019ab296390_T001,759,CML52
Zm00019ab296430_T001,2014,CML52
Zm00019ab296440_T002,33831,CML52
Zm00019ab296450_T001,579,CML52
Zm00019ab296460_T001,13887,CML52
Zm00019ab296470_T003,8853,CML52
Zm00019ab296480_T001,627,CML52
Zm00019ab296490_T001,1376,CML52
Zm00019ab296500_T001,680,CML52
Zm00019ab296510_T002,1294,CML52
Zm00019ab296520_T001,684,CML52
Zm00019ab296530_T001,4249,CML52
Zm00019ab296550_T001,820,CML52
Zm00019ab296560_T001,603,CML52
Zm00019ab296570_T001,3008,CML52
Zm00019ab296580_T001,1199,CML52
Zm00019ab296590_T001,3105,CML52
Zm00019ab296600_T001,1015,CML52
Zm00019ab296620_T001,5705,CML52
Zm00019ab296640_T001,39732,CML52
Zm00019ab296660_T001,38442,CML52
Zm00019ab296670_T001,285,CML52
Zm00019ab296680_T001,10409,CML52
Zm00019ab296690_T001,28251,CML52
Zm00019ab296710_T001,462,CML52
Zm00019ab296720_T002,1285,CML52
Zm00019ab296730_T001,1840,CML52
Zm00019ab296740_T001,1312,CML52
Zm00019ab296750_T003,12474,CML52
Zm00019ab296780_T001,640,CML52
Zm00019ab296790_T002,7663,CML52
Zm00019ab296810_T001,351,CML52
Zm00019ab296820_T001,4286,CML52
Zm00019ab296830_T001,5000,CML52
Zm00019ab296840_T004,23645,CML52
Zm00019ab296870_T001,2884,CML52
Zm00019ab296880_T001,1229,CML52
Zm00019ab296890_T001,1984,CML52
Zm00019ab296910_T001,2590,CML52
Zm00019ab296920_T002,15103,CML52
Zm00019ab296940_T002,2512,CML52
Zm00019ab296950_T001,3286,CML52
Zm00019ab296960_T001,4917,CML52
Zm00019ab296980_T002,1961,CML52
Zm00019ab296990_T001,633,CML52
Zm00019ab297000_T002,3941,CML52
Zm00019ab297010_T001,13622,CML52
Zm00019ab297020_T004,19276,CML52
Zm00019ab297030_T001,10158,CML52
Zm00019ab297040_T002,1951,CML52
Zm00019ab297050_T001,4100,CML52
Zm00019ab297070_T001,2703,CML52
Zm00019ab297080_T001,869,CML52
Zm00019ab297090_T001,12299,CML52
Zm00019ab297100_T001,2419,CML52
Zm00019ab297110_T001,43818,CML52
Zm00019ab297130_T001,12140,CML52
Zm00019ab297140_T001,2850,CML52
Zm00019ab297160_T001,4063,CML52
Zm00019ab297170_T001,5255,CML52
Zm00019ab297180_T001,3686,CML52
Zm00019ab297200_T001,7426,CML52
Zm00019ab297210_T001,9408,CML52
Zm00019ab297220_T001,12402,CML52
Zm00019ab297230_T001,2689,CML52
Zm00019ab297240_T001,10090,CML52
Zm00019ab297250_T002,5849,CML52
Zm00019ab297270_T001,585,CML52
Zm00019ab297280_T003,4366,CML52
Zm00019ab297290_T001,1023,CML52
Zm00019ab297300_T003,6703,CML52
Zm00019ab297310_T001,969,CML52
Zm00019ab297330_T001,537,CML52
Zm00019ab297340_T001,12881,CML52
Zm00019ab297350_T001,530,CML52
Zm00019ab297360_T001,852,CML52
Zm00019ab297370_T002,6267,CML52
Zm00019ab297380_T001,10641,CML52
Zm00019ab297390_T001,1371,CML52
Zm00019ab297400_T001,18129,CML52
Zm00019ab297410_T001,2351,CML52
Zm00019ab297420_T001,4846,CML52
Zm00019ab297430_T001,2349,CML52
Zm00019ab297440_T001,72604,CML52
Zm00019ab297450_T001,1561,CML52
Zm00019ab297460_T002,43772,CML52
Zm00019ab297470_T002,15162,CML52
Zm00019ab297500_T001,1270,CML52
Zm00019ab297510_T001,1261,CML52
Zm00019ab297530_T002,2965,CML52
Zm00019ab297540_T001,16622,CML52
Zm00019ab297560_T001,801,CML52
Zm00019ab297570_T001,28802,CML52
Zm00019ab297580_T002,2302,CML52
Zm00019ab297600_T004,15374,CML52
Zm00019ab297610_T001,2060,CML52
Zm00019ab297620_T001,9584,CML52
Zm00019ab297630_T001,5933,CML52
Zm00019ab297640_T001,375,CML52
Zm00019ab297650_T003,3223,CML52
Zm00019ab297660_T001,1664,CML52
Zm00019ab297670_T001,4765,CML52
Zm00019ab297680_T001,1854,CML52
Zm00019ab297690_T001,1849,CML52
Zm00019ab297700_T001,1628,CML52
Zm00019ab297710_T003,3505,CML52
Zm00019ab297720_T001,5937,CML52
Zm00019ab297730_T001,5120,CML52
Zm00019ab297740_T001,240,CML52
Zm00019ab297750_T001,17026,CML52
Zm00019ab297760_T002,8310,CML52
Zm00019ab297770_T001,414,CML52
Zm00019ab297790_T002,10868,CML52
Zm00019ab297810_T001,330,CML52
Zm00019ab297820_T001,10613,CML52
Zm00019ab297830_T002,5629,CML52
Zm00019ab297840_T001,1067,CML52
Zm00019ab297850_T001,1601,CML52
Zm00019ab297860_T001,3340,CML52
Zm00019ab297870_T001,2387,CML52
Zm00019ab297880_T001,5858,CML52
Zm00019ab297890_T001,273,CML52
Zm00019ab297900_T002,4752,CML52
Zm00019ab297910_T001,3392,CML52
Zm00019ab297920_T001,1408,CML52
Zm00019ab297940_T001,5333,CML52
Zm00019ab297950_T001,1837,CML52
Zm00019ab297960_T001,37532,CML52
Zm00019ab297980_T001,1139,CML52
Zm00019ab297990_T001,329,CML52
Zm00019ab298010_T001,2252,CML52
Zm00019ab298020_T001,880,CML52
Zm00019ab298030_T001,390,CML52
Zm00019ab298040_T001,423,CML52
Zm00019ab298050_T002,3482,CML52
Zm00019ab298060_T001,522,CML52
Zm00019ab298070_T001,798,CML52
Zm00019ab298080_T002,10344,CML52
Zm00019ab298090_T001,2015,CML52
Zm00019ab298100_T001,1901,CML52
Zm00019ab298110_T001,691,CML52
Zm00019ab298120_T001,8253,CML52
Zm00019ab298130_T001,678,CML52
Zm00019ab298140_T001,2083,CML52
Zm00019ab298170_T001,2690,CML52
Zm00019ab298180_T001,1674,CML52
Zm00019ab298200_T002,3024,CML52
Zm00019ab298210_T001,10753,CML52
Zm00019ab298220_T001,17710,CML52
Zm00019ab298230_T001,1428,CML52
Zm00019ab298240_T001,2864,CML52
Zm00019ab298250_T001,12352,CML52
Zm00019ab298260_T001,927,CML52
Zm00019ab298270_T001,12720,CML52
Zm00019ab298280_T001,13317,CML52
Zm00019ab298290_T001,4333,CML52
Zm00019ab298300_T001,33030,CML52
Zm00019ab298310_T003,5235,CML52
Zm00019ab298320_T001,4217,CML52
Zm00019ab298330_T001,1471,CML52
Zm00019ab298340_T001,11611,CML52
Zm00019ab298360_T001,9541,CML52
Zm00019ab298370_T001,4552,CML52
Zm00019ab298380_T001,5000,CML52
Zm00019ab298390_T001,739,CML52
Zm00019ab298400_T001,20938,CML52
Zm00019ab298420_T003,1679,CML52
Zm00019ab298430_T001,3987,CML52
Zm00019ab298440_T001,1362,CML52
Zm00019ab298450_T001,626,CML52
Zm00019ab298460_T001,1997,CML52
Zm00019ab298470_T001,885,CML52
Zm00019ab298480_T001,1064,CML52
Zm00019ab298490_T001,1127,CML52
Zm00019ab298500_T001,1758,CML52
Zm00019ab298510_T001,1798,CML52
Zm00019ab298520_T003,31302,CML52
Zm00019ab298550_T001,7766,CML52
Zm00019ab298560_T001,1762,CML52
Zm00019ab298570_T001,3438,CML52
Zm00019ab298580_T001,2903,CML52
Zm00019ab298590_T001,339,CML52
Zm00019ab298600_T001,870,CML52
Zm00019ab298610_T001,903,CML52
Zm00019ab298620_T001,885,CML52
Zm00019ab298630_T001,882,CML52
Zm00019ab298640_T001,882,CML52
Zm00019ab298650_T002,6559,CML52
Zm00019ab298660_T001,3897,CML52
Zm00019ab298670_T002,5204,CML52
Zm00019ab298680_T001,815,CML52
Zm00019ab298690_T001,990,CML52
Zm00019ab298700_T001,3756,CML52
Zm00019ab298710_T001,3363,CML52
Zm00019ab298720_T001,1943,CML52
Zm00019ab298730_T001,1635,CML52
Zm00019ab298740_T003,16998,CML52
Zm00019ab298760_T001,1598,CML52
Zm00019ab298780_T001,603,CML52
Zm00019ab298790_T001,2888,CML52
Zm00019ab298810_T001,848,CML52
Zm00019ab298820_T003,4587,CML52
Zm00019ab298840_T003,3418,CML52
Zm00019ab298850_T001,340,CML52
Zm00019ab298860_T001,11082,CML52
Zm00019ab298890_T001,3208,CML52
Zm00019ab298900_T002,3746,CML52
Zm00019ab298910_T001,5346,CML52
Zm00019ab298920_T002,6485,CML52
Zm00019ab298930_T001,601,CML52
Zm00019ab298940_T001,1509,CML52
Zm00019ab298950_T001,542,CML52
Zm00019ab298960_T001,708,CML52
Zm00019ab298970_T001,1049,CML52
Zm00019ab298980_T001,3659,CML52
Zm00019ab298990_T001,1242,CML52
Zm00019ab299000_T001,1247,CML52
Zm00019ab299010_T001,7464,CML52
Zm00019ab299020_T001,1470,CML52
Zm00019ab299030_T001,4240,CML52
Zm00019ab299040_T001,26280,CML52
Zm00019ab299050_T001,873,CML52
Zm00019ab299060_T002,8765,CML52
Zm00019ab299070_T001,10631,CML52
Zm00019ab299080_T001,10112,CML52
Zm00019ab299090_T001,5428,CML52
Zm00019ab299100_T001,660,CML52
Zm00019ab299110_T001,2209,CML52
Zm00019ab299120_T001,30652,CML52
Zm00019ab299130_T001,1946,CML52
Zm00019ab299140_T001,551,CML52
Zm00019ab299150_T001,2148,CML52
Zm00019ab299160_T001,1191,CML52
Zm00019ab299170_T001,3225,CML52
Zm00019ab299180_T001,1773,CML52
Zm00019ab299200_T001,1655,CML52
Zm00019ab299210_T004,3093,CML52
Zm00019ab299220_T001,1768,CML52
Zm00019ab299230_T001,4764,CML52
Zm00019ab299250_T001,6974,CML52
Zm00019ab299260_T001,16459,CML52
Zm00019ab299280_T001,465,CML52
Zm00019ab299300_T001,6948,CML52
Zm00019ab299310_T001,2989,CML52
Zm00019ab299320_T002,15170,CML52
Zm00019ab299350_T001,1066,CML52
Zm00019ab299370_T001,7199,CML52
Zm00019ab299380_T001,591,CML52
Zm00019ab299390_T001,2309,CML52
Zm00019ab299400_T001,15206,CML52
Zm00019ab299410_T001,3069,CML52
Zm00019ab299420_T002,15473,CML52
Zm00019ab299430_T001,17297,CML52
Zm00019ab299440_T002,7158,CML52
Zm00019ab299460_T003,23654,CML52
Zm00019ab299470_T001,1885,CML52
Zm00019ab299490_T001,646,CML52
Zm00019ab299500_T001,3747,CML52
Zm00019ab299510_T001,761,CML52
Zm00019ab299520_T001,1520,CML52
Zm00019ab299530_T001,4817,CML52
Zm00019ab299540_T001,2187,CML52
Zm00019ab299550_T001,2514,CML52
Zm00019ab299570_T001,3572,CML52
Zm00019ab299580_T001,366,CML52
Zm00019ab299590_T001,1787,CML52
Zm00019ab299600_T001,3373,CML52
Zm00019ab299610_T001,1719,CML52
Zm00019ab299620_T002,1832,CML52
Zm00019ab299630_T001,5898,CML52
Zm00019ab299640_T001,642,CML52
Zm00019ab299650_T001,4573,CML52
Zm00019ab299660_T001,3694,CML52
Zm00019ab299670_T001,408,CML52
Zm00019ab299680_T001,1148,CML52
Zm00019ab299690_T001,4682,CML52
Zm00019ab299710_T001,990,CML52
Zm00019ab299720_T001,3873,CML52
Zm00019ab299730_T001,1160,CML52
Zm00019ab299740_T001,1280,CML52
Zm00019ab299750_T001,2195,CML52
Zm00019ab299760_T001,3031,CML52
Zm00019ab299770_T001,300,CML52
Zm00019ab299780_T001,4730,CML52
Zm00019ab299800_T001,5671,CML52
Zm00019ab299810_T001,15137,CML52
Zm00019ab299820_T001,570,CML52
Zm00019ab299830_T003,10845,CML52
Zm00019ab299840_T001,6315,CML52
Zm00019ab299850_T001,7725,CML52
Zm00019ab299860_T001,2551,CML52
Zm00019ab299870_T004,4802,CML52
Zm00019ab299880_T003,3865,CML52
Zm00019ab299890_T001,5692,CML52
Zm00019ab299900_T003,6978,CML52
Zm00019ab299910_T001,926,CML52
Zm00019ab299920_T001,10297,CML52
Zm00019ab299930_T003,28261,CML52
Zm00019ab299950_T001,11224,CML52
Zm00019ab299960_T001,8032,CML52
Zm00019ab299970_T002,14146,CML52
Zm00019ab299980_T002,4435,CML52
Zm00019ab299990_T001,2394,CML52
Zm00019ab300000_T001,598,CML52
Zm00019ab300010_T001,330,CML52
Zm00019ab300020_T001,3978,CML52
Zm00019ab300040_T001,4450,CML52
Zm00019ab300050_T001,7701,CML52
Zm00019ab300060_T001,525,CML52
Zm00019ab300070_T002,2105,CML52
Zm00019ab300090_T001,2780,CML52
Zm00019ab300100_T001,2535,CML52
Zm00019ab300110_T003,2135,CML52
Zm00019ab300130_T002,4453,CML52
Zm00019ab300150_T003,3570,CML52
Zm00019ab300160_T001,10074,CML52
Zm00019ab300170_T001,1154,CML52
Zm00019ab300190_T001,2001,CML52
Zm00019ab300200_T001,1686,CML52
Zm00019ab300210_T001,1944,CML52
Zm00019ab300220_T002,5492,CML52
Zm00019ab300230_T001,3870,CML52
Zm00019ab300240_T001,606,CML52
Zm00019ab300250_T001,2574,CML52
Zm00019ab300260_T001,2170,CML52
Zm00019ab300270_T001,832,CML52
Zm00019ab300280_T001,1922,CML52
Zm00019ab300290_T001,1324,CML52
Zm00019ab300300_T001,564,CML52
Zm00019ab300310_T001,12215,CML52
Zm00019ab300320_T001,1379,CML52
Zm00019ab300330_T001,1549,CML52
Zm00019ab300340_T001,2659,CML52
Zm00019ab300350_T001,1078,CML52
Zm00019ab300360_T001,1336,CML52
Zm00019ab300370_T001,3469,CML52
Zm00019ab300380_T002,7650,CML52
Zm00019ab300390_T001,1464,CML52
Zm00019ab300400_T001,9010,CML52
Zm00019ab300410_T001,1169,CML52
Zm00019ab300420_T001,18969,CML52
Zm00019ab300430_T002,2685,CML52
Zm00019ab300440_T001,2848,CML52
Zm00019ab300450_T004,7261,CML52
Zm00019ab300460_T002,12360,CML52
Zm00019ab300470_T001,10366,CML52
Zm00019ab300490_T002,3062,CML52
Zm00019ab300500_T001,237,CML52
Zm00019ab300510_T001,496,CML52
Zm00019ab300520_T003,4249,CML52
Zm00019ab300530_T001,898,CML52
Zm00019ab300540_T001,10182,CML52
Zm00019ab300560_T001,37351,CML52
Zm00019ab300570_T001,1489,CML52
Zm00019ab300580_T001,1683,CML52
Zm00019ab300590_T001,1949,CML52
Zm00019ab300600_T001,2655,CML52
Zm00019ab300610_T003,2774,CML52
Zm00019ab300620_T002,2356,CML52
Zm00019ab300630_T001,642,CML52
Zm00019ab300640_T001,1579,CML52
Zm00019ab300650_T001,2859,CML52
Zm00019ab300660_T001,4690,CML52
Zm00019ab300670_T001,4051,CML52
Zm00019ab300680_T001,940,CML52
Zm00019ab300690_T001,717,CML52
Zm00019ab300700_T001,1210,CML52
Zm00019ab300720_T001,3515,CML52
Zm00019ab300730_T001,4256,CML52
Zm00019ab300740_T001,1132,CML52
Zm00019ab300750_T001,2829,CML52
Zm00019ab300770_T001,3688,CML52
Zm00019ab300780_T001,2119,CML52
Zm00019ab300790_T001,369,CML52
Zm00019ab300800_T001,2383,CML52
Zm00019ab300810_T001,7195,CML52
Zm00019ab300820_T001,4582,CML52
Zm00019ab300830_T002,1750,CML52
Zm00019ab300850_T001,336,CML52
Zm00019ab300860_T001,312,CML52
Zm00019ab300870_T001,1726,CML52
Zm00019ab300880_T001,3370,CML52
Zm00019ab300890_T001,8245,CML52
Zm00019ab300900_T001,1797,CML52
Zm00019ab300910_T001,543,CML52
Zm00019ab300920_T001,1909,CML52
Zm00019ab300930_T001,2196,CML52
Zm00019ab300940_T001,29994,CML52
Zm00019ab300960_T001,2917,CML52
Zm00019ab300970_T001,1834,CML52
Zm00019ab300980_T001,13449,CML52
Zm00019ab300990_T001,3129,CML52
Zm00019ab301000_T001,7419,CML52
Zm00019ab301010_T001,1869,CML52
Zm00019ab301020_T001,909,CML52
Zm00019ab301030_T002,4582,CML52
Zm00019ab301040_T001,1734,CML52
Zm00019ab301050_T001,3163,CML52
Zm00019ab301060_T001,3217,CML52
Zm00019ab301080_T001,1506,CML52
Zm00019ab301090_T001,543,CML52
Zm00019ab301100_T001,1048,CML52
Zm00019ab301110_T001,1300,CML52
Zm00019ab301120_T001,1820,CML52
Zm00019ab301130_T001,413,CML52
Zm00019ab301140_T001,2156,CML52
Zm00019ab301150_T001,1922,CML52
Zm00019ab301160_T001,2166,CML52
Zm00019ab301170_T001,2688,CML52
Zm00019ab301180_T001,641,CML52
Zm00019ab301190_T001,463,CML52
Zm00019ab301200_T001,1034,CML52
Zm00019ab301210_T001,3130,CML52
Zm00019ab301220_T001,2337,CML52
Zm00019ab301240_T001,3824,CML52
Zm00019ab301250_T001,5621,CML52
Zm00019ab301260_T001,46440,CML52
Zm00019ab301270_T001,3893,CML52
Zm00019ab301280_T001,734,CML52
Zm00019ab301290_T001,572,CML52
Zm00019ab301310_T001,1801,CML52
Zm00019ab301320_T001,2873,CML52
Zm00019ab301340_T002,3330,CML52
Zm00019ab301350_T001,2240,CML52
Zm00019ab301360_T001,2629,CML52
Zm00019ab301370_T001,1052,CML52
Zm00019ab301380_T001,6596,CML52
Zm00019ab301390_T001,471,CML52
Zm00019ab301400_T001,1402,CML52
Zm00019ab301410_T001,5553,CML52
Zm00019ab301420_T001,2080,CML52
Zm00019ab301430_T001,3524,CML52
Zm00019ab301440_T001,4772,CML52
Zm00019ab301450_T001,8573,CML52
Zm00019ab301470_T001,5251,CML52
Zm00019ab301480_T001,3999,CML52
Zm00019ab301490_T001,4470,CML52
Zm00019ab301500_T002,2390,CML52
Zm00019ab301510_T001,7129,CML52
Zm00019ab301520_T001,954,CML52
Zm00019ab301530_T001,1307,CML52
Zm00019ab301540_T001,16090,CML52
Zm00019ab301550_T001,3567,CML52
Zm00019ab301560_T003,3755,CML52
Zm00019ab301570_T001,2371,CML52
Zm00019ab301580_T003,6582,CML52
Zm00019ab301590_T002,2444,CML52
Zm00019ab301600_T001,2892,CML52
Zm00019ab301610_T001,1628,CML52
Zm00019ab301620_T001,979,CML52
Zm00019ab301640_T001,1516,CML52
Zm00019ab301650_T001,2408,CML52
Zm00019ab301660_T001,701,CML52
Zm00019ab301680_T001,1580,CML52
Zm00019ab301690_T001,13268,CML52
Zm00019ab301700_T001,1112,CML52
Zm00019ab301710_T001,1117,CML52
Zm00019ab301720_T001,521,CML52
Zm00019ab301730_T002,2010,CML52
Zm00019ab301740_T001,2197,CML52
Zm00019ab301750_T001,2789,CML52
Zm00019ab301760_T001,5770,CML52
Zm00019ab301770_T001,475,CML52
Zm00019ab301790_T001,668,CML52
Zm00019ab301800_T003,4054,CML52
Zm00019ab301810_T003,5672,CML52
Zm00019ab301820_T001,1084,CML52
Zm00019ab301830_T001,647,CML52
Zm00019ab301840_T001,2885,CML52
Zm00019ab301850_T001,461,CML52
Zm00019ab301860_T001,2915,CML52
Zm00019ab301870_T004,4659,CML52
Zm00019ab301880_T004,1713,CML52
Zm00019ab301890_T001,341,CML52
Zm00019ab301900_T004,4899,CML52
Zm00019ab301910_T001,19540,CML52
Zm00019ab301920_T001,1031,CML52
Zm00019ab301930_T001,972,CML52
Zm00019ab301950_T001,4343,CML52
Zm00019ab301960_T001,1052,CML52
Zm00019ab301970_T001,2369,CML52
Zm00019ab301980_T001,1097,CML52
Zm00019ab301990_T001,1791,CML52
Zm00019ab302000_T001,9487,CML52
Zm00019ab302010_T002,2447,CML52
Zm00019ab302020_T001,5339,CML52
Zm00019ab302030_T001,677,CML52
Zm00019ab302040_T001,2679,CML52
Zm00019ab302050_T001,2245,CML52
Zm00019ab302060_T001,1194,CML52
Zm00019ab302070_T001,897,CML52
Zm00019ab302080_T001,7416,CML52
Zm00019ab302100_T002,7626,CML52
Zm00019ab302110_T001,1101,CML52
Zm00019ab302120_T002,2973,CML52
Zm00019ab302130_T001,1630,CML52
Zm00019ab302140_T001,4674,CML52
Zm00019ab302150_T001,30528,CML52
Zm00019ab302160_T001,6699,CML52
Zm00019ab302170_T001,1029,CML52
Zm00019ab302180_T001,1017,CML52
Zm00019ab302190_T001,847,CML52
Zm00019ab302200_T002,12170,CML52
Zm00019ab302210_T001,971,CML52
Zm00019ab302220_T002,4656,CML52
Zm00019ab302230_T001,1712,CML52
Zm00019ab302240_T002,1856,CML52
Zm00019ab302250_T001,621,CML52
Zm00019ab302260_T001,4372,CML52
Zm00019ab302270_T001,1554,CML52
Zm00019ab302280_T001,2089,CML52
Zm00019ab302290_T001,2494,CML52
Zm00019ab302300_T001,3282,CML52
Zm00019ab302310_T001,3378,CML52
Zm00019ab302320_T001,751,CML52
Zm00019ab302330_T001,4353,CML52
Zm00019ab302340_T005,961,CML52
Zm00019ab302350_T001,697,CML52
Zm00019ab302360_T001,3010,CML52
Zm00019ab302370_T001,3288,CML52
Zm00019ab302390_T001,5545,CML52
Zm00019ab302400_T001,855,CML52
Zm00019ab302410_T001,526,CML52
Zm00019ab302420_T001,1179,CML52
Zm00019ab302430_T001,2024,CML52
Zm00019ab302440_T001,2114,CML52
Zm00019ab302450_T001,3840,CML52
Zm00019ab302460_T002,1645,CML52
Zm00019ab302470_T001,1199,CML52
Zm00019ab302480_T001,1612,CML52
Zm00019ab302490_T001,621,CML52
Zm00019ab302510_T001,769,CML52
Zm00019ab302520_T002,826,CML52
Zm00019ab302530_T001,3417,CML52
Zm00019ab302540_T002,5130,CML52
Zm00019ab302550_T001,3458,CML52
Zm00019ab302560_T001,3742,CML52
Zm00019ab302570_T002,3163,CML52
Zm00019ab302580_T001,2350,CML52
Zm00019ab302590_T002,6433,CML52
Zm00019ab302600_T001,4514,CML52
Zm00019ab302610_T001,1433,CML52
Zm00019ab302620_T001,6192,CML52
Zm00019ab302630_T001,4070,CML52
Zm00019ab302640_T001,1255,CML52
Zm00019ab302650_T001,1248,CML52
Zm00019ab302660_T001,1961,CML52
Zm00019ab302670_T001,658,CML52
Zm00019ab302680_T001,1263,CML52
Zm00019ab302700_T001,714,CML52
Zm00019ab302710_T001,3162,CML52
Zm00019ab302720_T001,386,CML52
Zm00019ab302730_T001,2213,CML52
Zm00019ab302740_T001,567,CML52
Zm00019ab302750_T001,496,CML52
Zm00019ab302760_T001,3509,CML52
Zm00019ab302770_T001,3800,CML52
Zm00019ab302780_T002,22947,CML52
Zm00019ab302790_T001,4907,CML52
Zm00019ab302800_T001,663,CML52
Zm00019ab302810_T001,2252,CML52
Zm00019ab302820_T001,681,CML52
Zm00019ab302830_T001,1408,CML52
Zm00019ab302840_T001,1991,CML52
Zm00019ab302850_T001,2976,CML52
Zm00019ab302860_T002,2376,CML52
Zm00019ab302870_T002,6406,CML52
Zm00019ab302880_T001,733,CML52
Zm00019ab302890_T001,1013,CML52
Zm00019ab302900_T001,3857,CML52
Zm00019ab302910_T001,1799,CML52
Zm00019ab302920_T001,5554,CML52
Zm00019ab302930_T003,1487,CML52
Zm00019ab302940_T001,5498,CML52
Zm00019ab302950_T001,1668,CML52
Zm00019ab302970_T001,1441,CML52
Zm00019ab302980_T001,3196,CML52
Zm00019ab302990_T001,2881,CML52
Zm00019ab303000_T001,597,CML52
Zm00019ab303010_T001,3046,CML52
Zm00019ab303020_T001,1010,CML52
Zm00019ab303030_T002,2590,CML52
Zm00019ab303040_T001,5583,CML52
Zm00019ab303050_T001,5100,CML52
Zm00019ab303060_T001,3261,CML52
Zm00019ab303080_T002,1622,CML52
Zm00019ab303090_T001,4320,CML52
Zm00019ab303100_T001,1925,CML52
Zm00019ab303110_T001,3365,CML52
Zm00019ab303120_T001,2208,CML52
Zm00019ab303140_T001,1900,CML52
Zm00019ab303150_T001,1343,CML52
Zm00019ab303160_T001,1902,CML52
Zm00019ab303170_T001,1655,CML52
Zm00019ab303180_T001,4950,CML52
Zm00019ab303190_T002,4009,CML52
Zm00019ab303200_T001,1439,CML52
Zm00019ab303220_T001,3139,CML52
Zm00019ab303240_T003,2976,CML52
Zm00019ab303250_T002,4653,CML52
Zm00019ab303260_T001,1545,CML52
Zm00019ab303270_T001,813,CML52
Zm00019ab303280_T001,4162,CML52
Zm00019ab303290_T001,627,CML52
Zm00019ab303300_T001,1315,CML52
Zm00019ab303310_T001,1052,CML52
Zm00019ab303320_T001,5272,CML52
Zm00019ab303330_T001,473,CML52
Zm00019ab303340_T003,12340,CML52
Zm00019ab303350_T001,20342,CML52
Zm00019ab303360_T001,1918,CML52
Zm00019ab303370_T003,1909,CML52
Zm00019ab303380_T001,1241,CML52
Zm00019ab303390_T001,1600,CML52
Zm00019ab303400_T001,374,CML52
Zm00019ab303410_T001,1900,CML52
Zm00019ab303430_T001,831,CML52
Zm00019ab303440_T001,1430,CML52
Zm00019ab303450_T001,1836,CML52
Zm00019ab303460_T001,1412,CML52
Zm00019ab303470_T002,1786,CML52
Zm00019ab303480_T001,3531,CML52
Zm00019ab303490_T001,273,CML52
Zm00019ab303500_T001,273,CML52
Zm00019ab303510_T002,5249,CML52
Zm00019ab303520_T001,12563,CML52
Zm00019ab303530_T001,2068,CML52
Zm00019ab303550_T002,3478,CML52
Zm00019ab303560_T001,1701,CML52
Zm00019ab303580_T001,3790,CML52
Zm00019ab303590_T001,1200,CML52
Zm00019ab303600_T001,581,CML52
Zm00019ab303610_T001,1869,CML52
Zm00019ab303620_T001,1847,CML52
Zm00019ab303630_T003,4279,CML52
Zm00019ab303640_T001,4563,CML52
Zm00019ab303650_T002,1823,CML52
Zm00019ab303660_T002,17794,CML52
Zm00019ab303670_T001,3203,CML52
Zm00019ab303680_T001,5298,CML52
Zm00019ab303700_T002,2525,CML52
Zm00019ab303710_T001,1451,CML52
Zm00019ab303720_T001,774,CML52
Zm00019ab303730_T001,1580,CML52
Zm00019ab303740_T001,3382,CML52
Zm00019ab303750_T001,5442,CML52
Zm00019ab303760_T001,8566,CML52
Zm00019ab303770_T001,4236,CML52
Zm00019ab303780_T001,581,CML52
Zm00019ab303790_T005,5085,CML52
Zm00019ab303800_T001,1920,CML52
Zm00019ab303810_T001,1307,CML52
Zm00019ab303820_T001,1581,CML52
Zm00019ab303830_T001,2357,CML52
Zm00019ab303840_T002,1598,CML52
Zm00019ab303860_T001,813,CML52
